ID,FA_0,FA_5,FA_10,FA_15,FA_20,FA_25
sub-PDa082,0.378255218267441,0.379075348377228,0.379632890224457,0.382410526275635,0.383261471986771,0.385589122772217
sub-PDa084,0.378829270601273,0.379427790641785,0.3803950548172,0.384311467409134,0.385466456413269,0.38834610581398
sub-PDa087,0.395734429359436,0.396099239587784,0.396152019500732,0.398938328027725,0.399907857179642,0.402446717023849
sub-PDa088,0.379992693662643,0.37854990363121,0.377435594797134,0.377460479736328,0.377875208854675,0.379396945238113
sub-PDa089,0.377469807863235,0.378093898296356,0.378989547491074,0.382430881261826,0.38354617357254,0.38659331202507
sub-PDa090,0.382668793201447,0.382360994815826,0.381558954715729,0.381198555231094,0.381615877151489,0.383339434862137
sub-PDa091,0.364293158054352,0.364113539457321,0.365649431943893,0.369183748960495,0.370142042636871,0.372647404670715
sub-PDa092,0.385280787944794,0.385445773601532,0.385738879442215,0.387538015842438,0.388255566358566,0.390636533498764
sub-PDa093,0.378961175680161,0.379242181777954,0.379712492227554,0.382514238357544,0.38348188996315,0.386049300432205
sub-PDa094,0.368604600429535,0.368548482656479,0.368717700242996,0.371043741703033,0.371898055076599,0.374603897333145
sub-PDa096,0.380035221576691,0.380709737539291,0.381370216608047,0.383987575769424,0.384835988283157,0.386964052915573
sub-PDa097,0.37060159444809,0.372076749801636,0.374001741409302,0.380003750324249,0.38152551651001,0.384958237409592
sub-PDa098,0.385175824165344,0.38569501042366,0.386231243610382,0.389209240674973,0.39018452167511,0.392831325531006
sub-PDa099,0.363852381706238,0.364174544811249,0.364833414554596,0.368478327989578,0.369515627622604,0.372137576341629
sub-PDa101,0.374731570482254,0.375643134117126,0.377776145935059,0.383151262998581,0.384434908628464,0.38756987452507
sub-PDa102,0.364242047071457,0.364898920059204,0.365688264369965,0.369246959686279,0.370384901762009,0.373273015022278
sub-PDa103,0.384444862604141,0.385432571172714,0.386261612176895,0.389957576990128,0.391005247831345,0.39379158616066
sub-PDa104,0.390490919351578,0.391503661870956,0.392365604639053,0.396405696868896,0.397451221942902,0.400112807750702
sub-PDa108,0.372458904981613,0.372137725353241,0.371845930814743,0.372585862874985,0.372887372970581,0.374147206544876
sub-PDa109,0.375538319349289,0.375627189874649,0.375411957502365,0.376879841089249,0.377623587846756,0.379728853702545
sub-PDa110,0.381052911281586,0.381023675203323,0.381131917238235,0.383588224649429,0.384288787841797,0.386176556348801
sub-PDa112,0.382684916257858,0.382787615060806,0.383028984069824,0.386118352413177,0.387246519327164,0.390428870916367
sub-PDa115,0.386688113212585,0.387128561735153,0.387800246477127,0.391223162412643,0.39228418469429,0.395089983940125
sub-PDa116,0.381559312343597,0.381379872560501,0.380953311920166,0.382043689489365,0.3826023042202,0.384503424167633
sub-PDa117,0.38297313451767,0.383297771215439,0.383552491664886,0.386041909456253,0.386901438236237,0.389193654060364
